date,MRK,KO,MCD,MMM,MSFT,VZ,PG,TRV,UNH,V,JPM,NKE,JNJ,CVX,IBM,HON,HD,GS,DIS,CSCO,CRM,CAT,BA,AXP,AMGN,AAPL,WBA,INTC,WMT
2018-01-02,93,0,0,91,0,0,0,0,95,0,0,0,0,84,100,94,94,0,94,87,0,92,0,89,0,0,0,0,0
2018-01-03,100,0,0,100,0,0,0,0,100,0,0,0,0,100,100,97,99,0,94,100,0,100,0,100,0,0,0,0,0
2018-01-04,94,0,0,100,0,0,0,0,100,0,0,0,0,100,100,100,100,0,88,100,0,100,0,92,0,0,0,0,0
2018-01-05,74,0,0,96,0,0,0,0,100,0,0,0,0,81,85,100,100,0,88,91,0,89,0,85,0,0,0,0,0
2018-01-08,100,0,0,100,0,0,0,0,76,0,0,0,0,99,94,100,95,0,90,78,0,100,0,100,0,0,0,0,0
2018-01-09,100,0,0,87,0,0,0,0,100,0,0,0,0,93,94,100,90,0,93,100,0,100,0,100,0,0,0,0,0
2018-01-10,100,0,0,95,0,0,0,0,100,0,0,0,0,99,100,100,97,0,100,98,0,100,0,100,0,0,0,0,0
2018-01-11,100,0,0,91,0,0,0,0,99,0,0,0,0,100,100,100,94,0,100,92,0,96,0,97,0,0,0,0,0
2018-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,64,0,0,0,0,0,0,0,0,0
2018-01-16,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0
2018-01-17,-89,0,0,0,0,0,0,0,100,0,0,0,0,0,0,1,0,0,0,0,56,100,0,0,0,0,0,0,0
2018-01-18,-96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,36,0,0,0,0,0
2018-01-19,-100,0,0,100,0,0,0,0,100,0,0,0,0,10,100,-96,1,0,0,0,-56,0,0,1,0,0,0,0,0
2018-01-22,-96,0,0,0,0,0,0,0,0,0,0,0,0,69,100,0,0,0,0,0,0,-100,0,0,0,0,0,0,0
2018-01-23,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,-100,0,0,0,34,0,100,0,-100,0,0,0,0,0
2018-01-24,-100,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,100,0,0,0,0,-95,0,100,0,0,0,0,0
2018-01-25,-80,0,0,1,0,0,0,73,0,0,0,0,0,0,0,-100,100,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-26,0,0,0,0,0,0,0,-73,2,0,0,0,0,0,100,0,64,0,0,0,0,-100,0,0,0,0,0,0,0
2018-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,100,-96,0,0,0,0,0,0,0
2018-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2018-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-05,0,0,0,99,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,-99,0,-100,0,0,0,0,0
2018-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,1,0,0,0,0,-98,0,0,0,0,0,0,0
2018-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-08,0,0,0,1,0,0,0,0,0,0,0,0,0,50,100,0,0,0,0,0,0,0,0,-93,0,0,0,0,0
2018-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,2,0,0,0,100,-95,0,-99,0,0,0,0,0
2018-02-12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,100,-100,0,0,0,0,-100,0,0,33,0,0,0,0,0
