date,MRK,KO,MCD,MMM,MSFT,VZ,PG,TRV,UNH,V,JPM,NKE,JNJ,CVX,IBM,HON,HD,GS,DIS,CSCO,CRM,CAT,BA,AXP,AMGN,AAPL,WBA,INTC,WMT
2018-01-02,0,0,74,86,0,0,0,92,100,0,0,0,90,85,94,87,0,93,97,100,0,0,0,0,100,0,0,0,0
2018-01-03,0,0,100,100,0,0,0,100,100,0,0,0,100,96,100,83,0,100,96,100,0,0,0,0,100,0,0,0,0
2018-01-04,0,0,93,90,0,0,0,100,100,0,0,0,99,100,87,100,0,99,100,89,0,0,0,0,91,0,0,0,0
2018-01-05,0,0,100,91,0,0,0,100,100,0,0,0,93,88,90,100,0,96,98,83,0,0,0,0,95,0,0,0,0
2018-01-08,0,0,87,91,0,0,0,98,93,0,0,0,100,99,100,100,0,100,93,100,0,0,0,0,100,0,0,0,0
2018-01-09,0,0,81,100,0,0,0,100,91,0,0,0,87,100,100,100,0,100,100,98,0,0,0,0,100,0,0,0,0
2018-01-10,0,0,100,100,0,0,0,100,100,0,0,0,0,100,100,100,0,100,100,67,0,0,0,0,96,0,0,0,0
2018-01-11,0,0,0,-87,0,0,0,0,0,0,0,0,-97,0,100,0,0,0,0,73,0,0,0,0,0,0,0,0,0
2018-01-12,97,0,0,-95,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018-01-16,0,0,0,-100,0,0,0,0,0,0,0,0,-100,0,100,1,0,0,0,1,-1,0,0,0,18,0,0,0,0
2018-01-17,100,0,2,-81,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
2018-01-18,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-19,-88,0,0,0,0,0,0,0,1,0,0,0,100,0,0,-100,0,-91,0,0,0,0,0,0,98,0,0,0,0
2018-01-22,-9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-24,0,0,0,-100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,1,0,0,0,0,0,76,0,0,0,0
2018-01-25,0,0,1,0,0,0,0,0,2,0,0,0,0,-88,100,-82,0,-92,0,0,0,0,0,0,0,0,100,0,0
2018-01-26,0,0,100,-100,0,0,0,0,1,0,0,0,-100,39,100,0,0,0,100,0,0,0,0,0,0,0,-100,0,0
2018-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,97
