date,MRK,KO,MCD,MMM,MSFT,VZ,PG,TRV,UNH,V,JPM,NKE,JNJ,CVX,IBM,HON,HD,GS,DIS,CSCO,CRM,CAT,BA,AXP,AMGN,AAPL,WBA,INTC,WMT
2018-01-02,0,0,0,100,0,0,0,0,0,0,0,0,0,64,0,0,94,0,100,92,0,100,0,100,0,0,0,0,0
2018-01-03,0,0,0,97,0,0,0,0,0,0,0,0,0,89,0,0,97,0,93,93,0,100,0,100,0,0,0,0,0
2018-01-04,0,0,0,97,0,0,0,0,0,0,0,0,0,100,0,0,100,0,100,100,0,89,0,90,0,0,0,0,0
2018-01-05,0,0,0,83,0,0,0,0,0,0,0,0,0,89,0,0,100,0,100,100,0,93,0,90,0,0,0,0,0
2018-01-08,0,0,0,98,0,0,0,0,0,0,0,0,0,99,0,0,100,0,100,100,0,91,0,90,0,0,0,0,0
2018-01-09,0,0,0,100,0,0,0,0,0,0,0,0,0,90,0,0,100,0,85,93,0,90,0,100,0,0,0,0,0
2018-01-10,0,0,0,100,0,0,0,0,0,0,0,0,0,97,0,0,92,0,99,100,0,87,0,95,0,0,0,0,0
2018-01-11,0,0,0,82,0,0,0,0,0,0,0,0,0,83,0,0,100,0,85,96,0,87,0,100,0,0,0,0,0
2018-01-12,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,99,0,100,100,0,89,0,85,0,0,0,0,0
2018-01-16,0,0,0,100,0,0,0,0,0,0,0,0,0,90,0,0,98,0,96,90,0,100,0,100,0,0,0,0,0
2018-01-17,0,0,0,100,0,0,0,0,0,0,0,0,0,99,0,0,92,0,100,100,0,93,0,100,0,0,0,0,0
2018-01-18,0,0,0,92,0,0,0,0,0,0,0,0,0,100,0,0,94,0,75,93,0,93,0,90,0,0,0,0,0
2018-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,0,0,0,66,0,0
2018-01-22,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,84,0,0,-85,0,0,-99,0,0,0,0,-66,0,0
2018-01-23,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,-84,0,0,-100,0,0,100,0,1,0,0,13,0,0
2018-01-24,0,0,0,73,0,0,0,-100,0,0,0,0,0,100,0,100,98,0,-83,0,0,-100,0,1,0,0,-13,0,0
2018-01-25,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-26,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,100,0,0,0,0,0,100,0,0
2018-01-29,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0
2018-01-30,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,100,-100,0,0,47,0,0,0,0,0,0,0
2018-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,-87,0,0,0,0,0,0,0,23,0,0
2018-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,42,-100,0,0,0,0,0,0,0,0
2018-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,1,0,0,0,0,-23,0,0
2018-02-08,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-94,0,0,4,0,100,0,0,0,0,0
2018-02-09,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,100,0,-96,-93,0,0,-81,0,100,0,0,0,0,0
2018-02-12,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,-93,1,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-13,0,0,0,0,0,0,0,-31,0,0,0,0,0,0,0,0,2,-40,-100,89,0,-100,0,0,0,0,0,0,0
2018-02-14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-7,0,0,-94,0,0,57,0,100,0,0,0,0,0
2018-02-15,0,0,0,1,0,0,0,0,0,0,0,0,0,89,0,0,0,0,-98,0,100,0,0,0,0,0,100,0,0
2018-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,90,-100,-100,0,100,0,0,-88,0,0
