date,MRK,KO,MCD,MMM,MSFT,VZ,PG,TRV,UNH,V,JPM,NKE,JNJ,CVX,IBM,HON,HD,GS,DIS,CSCO,CRM,CAT,BA,AXP,AMGN,AAPL,WBA,INTC,WMT
2018-01-02,0,0,89,87,0,0,0,100,100,0,0,0,86,100,100,0,0,0,100,100,0,0,0,0,100,0,100,0,0
2018-01-03,0,0,100,100,0,0,0,100,91,0,0,0,100,67,100,0,0,0,100,100,0,0,0,0,96,0,100,0,0
2018-01-04,0,0,100,100,0,0,0,100,85,0,0,0,99,100,93,0,0,0,100,100,0,0,0,0,96,0,100,0,0
2018-01-05,0,0,100,82,0,0,0,100,78,0,0,0,100,100,100,0,0,0,100,100,0,0,0,0,91,0,100,0,0
2018-01-08,0,0,100,85,0,0,0,90,84,0,0,0,100,100,100,0,0,0,100,90,0,0,0,0,100,0,100,0,0
2018-01-09,0,0,100,89,0,0,0,90,100,0,0,0,92,87,91,0,0,0,100,100,0,0,0,0,89,0,99,0,0
2018-01-10,0,0,100,80,0,0,0,100,100,0,0,0,100,100,91,0,0,0,96,100,0,0,0,0,94,0,96,0,0
2018-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,99,0,100,0,0
2018-01-12,100,0,100,-100,0,0,0,27,0,1,0,0,-100,0,0,0,0,100,0,0,0,0,0,0,-100,0,-100,0,0
2018-01-16,100,0,100,-88,0,0,0,100,100,-1,0,0,0,100,0,0,0,39,0,-95,0,0,0,0,-88,0,-100,0,0
2018-01-17,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89,0,89,0,0,0,0,0,0,0,0,100
2018-01-18,1,0,0,100,0,0,0,75,0,0,0,0,0,0,100,0,0,100,0,-81,0,0,0,0,0,0,-76,0,-98
2018-01-19,-100,0,0,100,0,0,0,100,0,0,0,0,0,0,11,0,0,-90,100,100,0,0,0,0,0,0,-100,0,-2
2018-01-22,100,0,90,-83,0,0,0,-93,0,95,0,88,-92,0,0,0,0,13,91,-100,100,0,0,96,99,0,-100,0,0
2018-01-23,100,0,0,0,0,0,100,42,100,-95,0,-88,0,100,0,0,0,0,0,-100,-100,0,0,-96,100,0,-100,0,0
2018-01-24,100,0,100,-88,0,0,-100,-92,100,1,0,0,-97,100,4,0,0,0,100,32,0,0,0,100,0,0,-95,0,0
2018-01-25,-100,0,1,-100,0,0,0,70,0,-1,0,0,0,-94,100,0,0,-73,0,100,0,0,0,-97,0,0,0,0,0
2018-01-26,2,0,0,-100,0,0,0,0,1,0,0,0,-85,100,100,0,0,0,37,100,0,0,0,-3,0,0,-89,0,0
