date,MRK,KO,MCD,MMM,MSFT,VZ,PG,TRV,UNH,V,JPM,NKE,JNJ,CVX,IBM,HON,HD,GS,DIS,CSCO,CRM,CAT,BA,AXP,AMGN,AAPL,WBA,INTC,WMT
2018-01-02,100,0,100,100,0,0,100,90,100,0,0,0,0,98,92,0,90,0,0,91,100,0,0,0,0,0,100,0,0
2018-01-03,87,0,92,92,0,0,88,100,89,0,0,0,0,88,98,0,100,0,0,100,100,0,0,0,0,0,100,0,0
2018-01-04,89,0,100,93,0,0,93,100,95,0,0,0,0,91,86,0,100,0,0,94,97,0,0,0,0,0,90,0,0
2018-01-05,89,0,96,100,0,0,95,90,89,0,0,0,0,100,100,0,100,0,0,100,100,0,0,0,0,0,100,0,0
2018-01-08,92,0,99,98,0,0,86,94,100,0,0,0,0,100,87,0,93,0,0,96,83,0,0,0,0,0,86,0,0
2018-01-09,100,0,100,97,0,0,100,100,100,0,0,0,0,93,100,0,100,0,0,100,100,0,0,0,0,0,100,0,0
2018-01-10,95,0,100,100,0,0,93,100,100,0,0,0,0,96,94,0,99,0,0,100,89,0,0,0,0,0,100,0,0
2018-01-11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100,0,1,0,0,0,0,0,0,0,0,0,74,0,0
2018-01-12,-100,0,-100,100,0,0,-100,67,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,-100,0,0
2018-01-16,-87,0,-93,100,0,0,-96,-96,0,0,0,0,0,100,100,0,99,0,0,0,0,0,0,0,100,0,-96,0,0
2018-01-17,-100,0,-97,91,0,0,-100,-97,2,0,0,0,0,92,100,0,100,0,0,100,100,0,0,0,-79,0,0,0,0
2018-01-18,-100,0,-97,100,0,0,-93,-87,0,0,0,0,0,100,100,100,100,0,100,0,46,0,0,0,97,0,-88,0,0
2018-01-19,-82,0,-92,0,0,0,-99,100,100,0,0,0,0,94,0,-97,0,0,100,99,47,0,0,0,-99,0,-100,0,0
2018-01-22,-100,0,-100,22,0,0,-100,-100,0,100,0,0,0,0,100,100,0,0,-100,100,0,0,0,0,-19,0,-91,0,0
2018-01-23,-83,0,-97,100,0,0,-68,-96,46,-96,0,0,0,100,79,-100,100,100,75,100,100,0,0,0,90,0,-93,0,0
2018-01-24,0,0,-11,47,0,0,0,-95,100,-4,0,0,0,0,93,100,96,-100,100,0,94,0,0,0,-90,0,-99,0,0
2018-01-25,0,0,0,0,0,0,0,-95,3,0,0,0,0,1,0,0,0,0,0,100,0,0,0,0,0,0,-83,0,0
2018-01-26,0,0,0,100,0,0,0,-100,100,0,0,0,0,0,1,-100,0,0,0,21,0,0,0,0,0,0,0,0,0
2018-01-29,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-30,0,0,0,100,0,0,0,-75,1,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0
2018-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
2018-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-09,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-100,0,0,0,0,0,0,0,0,0,0
2018-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-13,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,-91,0,0,0,0,0,0,0,0,0,0
2018-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,1,0,-91,0,0,0,0,0,0,0,0,0,0
2018-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,-5,0,0,0,0,0,0,0,0,0,0
